species,layer,p2,p3,p4,p5,p6,p8,p9,p11,p12,p14,p15,p17,p19,p20,p21,p22,p23,p25,p27
Acer campestre,t,NA,NA,NA,1,NA,NA,*1,NA,NA,1,*4,NA,NA,NA,4,NA,NA,NA,NA
Acer platanoides,t,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acer pseudoplatanus,t,NA,NA,6,*1,NA,1,*4,NA,NA,NA,NA,6,*2,*2,NA,3,NA,NA,4
Aesculus hippocastanum,t,NA,NA,NA,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carpinus betulus,t,NA,NA,NA,NA,5,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
Corylus avellana,t,NA,NA,NA,NA,NA,NA,*4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fagus sylvatica,t,2,9,2,6,NA,1,3,6,2,9,NA,3,4,*4,1,7,3,8,9
Fraxinus excelsior,t,NA,NA,NA,1,NA,3,*4,NA,NA,3,*2,NA,NA,NA,4,NA,NA,NA,NA
Hedera helix,t,NA,NA,1,NA,*1,*2,NA,NA,NA,*1,*2,NA,NA,NA,4,NA,NA,*1,4
Pinus sylvestris,t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4,NA,NA,NA,NA,NA,NA,NA,NA
Prunus avium,t,NA,NA,*2,*1,NA,*4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Quercus sp.,t,6,*1,NA,NA,NA,NA,NA,NA,4,NA,1,*1,NA,NA,NA,NA,5,NA,4
Sorbus torminalis,t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA
Tilia cordata,t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ulmus glabra,t,NA,NA,NA,NA,NA,NA,*1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Ulmus minor,t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
Acer campestre,s,*4,NA,NA,NA,NA,NA,*2,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA
Acer pseudoplatanus,s,*1,NA,*2,NA,NA,NA,*1,NA,NA,NA,NA,NA,NA,*4,NA,NA,NA,NA,3
Carpinus betulus,s,*2,NA,*2,NA,*2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Corylus avellana,s,NA,NA,NA,NA,NA,NA,*2,NA,NA,NA,*2,*1,NA,NA,NA,NA,NA,NA,1
Crataegus laevigata,s,*4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crataegus monogyna agg.,s,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,NA,NA,NA,NA,NA,NA,NA,NA
