species	L	T	K	F	R	N
Abies_alba	3	5	4	NA	NA	NA
Acer_campestre	5	6	4	5	7	6
Acer_platanoides	4	6	4	NA	NA	NA
Acer_pseudoplatanus	4	NA	4	6	NA	7
Ajuga_reptans	6	NA	2	6	NA	6
Alliaria_petiolata	5	6	3	5	7	9
Allium_ursinum	2	NA	2	6	7	8
Alnus_glutinosa	5	5	3	9	6	NA
Anemone_nemorosa	NA	NA	3	5	NA	NA
Arum_maculatum	3	6	2	7	7	8
Athyrium_filix.femina	3	NA	3	7	NA	6
Brachypodium_sylvaticum	3	5	3	5	6	6
Campanula_trachelium	4	NA	3	6	8	8
Carex_digitata	3	NA	4	5	NA	4
Carex_flacca	7	NA	3	6	8	NA
Carex_montana	5	NA	4	4	6	3
Carex_sylvatica	2	5	3	7	9	NA
Carpinus_betulus	4	6	4	NA	NA	NA
Circaea_lutetiana	4	5	3	6	7	7
Clematis_vitalba	7	6	3	5	7	7
Convallaria_majalis	5	NA	3	4	NA	4
Cornus_sanguinea	7	5	4	5	7	NA
Corylus_avellana	6	5	3	NA	NA	5
Crataegus_laevigata	6	6	4	5	7	5
Crataegus_monogyna	7	5	3	4	8	4
Dactylis_glomerata	7	NA	3	5	NA	6
Dryopteris_carthusiana	5	NA	3	NA	4	3
Dryopteris_dilatata	4	NA	3	6	NA	7
Dryopteris_filix.mas	3	NA	3	5	5	6
Fagus_sylvatica	3	5	2	5	NA	NA
Festuca_altissima	3	5	3	5	3	6
Festuca_ovina	7	NA	NA	3	3	NA
Ficaria_verna	4	5	3	7	7	7
Fragaria_vesca	7	NA	5	5	NA	6
Fraxinus_excelsior	8	5	NA	NA	7	7
Galium_aparine	7	6	3	NA	6	8
Galium_odoratum	2	5	2	5	6	5
Galium_sylvatikum	5	5	4	5	6	5
Geranium_robertianum	5	NA	3	NA	NA	7
Geum_urbanum	4	5	5	5	NA	7
Glechoma_hederacea	6	6	3	6	NA	7
Hedera_helix	4	5	2	5	NA	NA
Helleborus_foetidus	5	7	2	4	8	3
Hieracium_murorum	5	6	3	4	4	NA
Impatiens_parviflora	4	6	5	5	NA	6
Impatiens_parviflora.1	4	6	5	5	NA	6
Juglans_regia	5	7	4	6	7	7
Lamium_galeobdolon	3	5	4	5	7	5
Lathyrus_niger	5	6	4	3	7	3
Lathyrus_vernus	4	6	4	5	8	4
Ligustrum_vulgare	7	6	3	4	8	3
Lithospermum_purpurocaeruleum	5	7	4	4	7	4
Luzula_luzuloides	4	NA	4	5	3	4
Melampyrum_pratense	NA	NA	3	NA	3	2
Melica_uniflora	3	5	2	5	6	6
Mercurialis_perennis	2	NA	3	NA	8	7
Milium_effusum	4	NA	3	5	5	5
Mycelis_muralis	4	6	2	5	NA	6
Oxalis_acetosella	1	NA	3	5	4	6
Pinus_sylvestris	7	NA	7	NA	NA	NA
Poa_nemoralis	5	NA	5	5	5	4
Primula_elatior	6	NA	4	6	7	7
Prunus_avium	4	5	4	5	7	5
Prunus_padus	5	NA	3	7	6	6
Prunus_spinosa	7	5	5	NA	NA	NA
Quercus_robur	7	6	NA	NA	NA	NA
Quercus_spec	6	6	2	5	NA	NA
Robinia_pseudoacacia	7	5	4	6	NA	NA
Rosa_spec	7	4	4	5	7	5
Rubus_fruticosus	6	5	4	5	6	NA
Rubus_idaeus	7	5	5	4	NA	NA
Rubus_spec	NA	NA	NA	NA	"	NA"	NA
Sambucus_nigra	7	5	3	5	NA	9
Sanicula_europaea	4	5	3	5	8	6
Silene_dioica	NA	NA	4	6	7	8
Sorbus_torminalis	4	7	4	4	7	4
Stellaria_nemorum	5	6	3	5	6	5
Teucrium_scorodonia	6	5	2	4	2	3
Ulmus_glabra	4	5	3	7	NA	7
Ulmus_minor	5	7	5	NA	8	NA
Urtica_dioica	NA	NA	NA	6	6	8
Veronica_montana	4	5	2	7	5	6
Vicia_sepium	NA	NA	5	5	7	5
Vincetoxicum_hirundinaria	6	5	5	3	7	3
Viola_hirta	6	5	5	4	8	2
Viola_reichenbachiana	4	5	4	5	7	6
