"longitude" "latitude" "slope" "aspect" "cover_tree" "cover_shrub" "year" "cover_field" "location" "coord_system" "geodetic_dat" "accuracy_m" "altitude_m" "country" "Parent_plot" "shape" "size" "date" "formation" "pH" "foliage" "bare_soil" "litter" "standing_dead" "Living_stems" "Cover_field_layer_vascular" "cover_juvenile" "cover_seedling" "cover_field_layer_non_vascular" "Permanent_plot_id"
"id1_2016" 8.22824 49.0104 55 7 70 6 2016 1 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"id2_2016" 8.22816 49.0999 0 0 80 2 2016 1 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"id3_2016" 8.22866 49.0104 15 7 60 20 2016 60 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"id5_2016" 8.22862 49.0108 0 0 40 40 2016 40 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"id7_2016" 8.57684 49.1084 35 57 80 45 2016 30 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"id8_2016" 8.57915 49.1085 27 2 80 1 2016 12 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"id10_2016" 8.57536 49.1036 37 39 70 25 2016 15 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"id12_2016" 8.22828 49.0106 13 30 2 85 2016 75 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"id13_2016" 8.22278 49.0106 36 43 3 96 2016 60 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"id14_2016" 8.22753 49.0105 0 0 5 95 2016 80 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"id16_2016" 8.22693 49.0119 0 0 20 70 2016 75 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"G2_2016" 8.22874 49.01019 3 270 40 3 2016 90 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"G3_2016" 8.22772 49.01033 0 260 95 1 2016 1 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"G4_2016" 8.22736 49.01127 15 260 40 60 2016 40 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"G5_2016" 8.2271 49.01134 37 250 85 1 2016 1 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"C1_2016" 8.57847 49.10855 15 21 50 20 2016 65 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"C2_2016" 8.5753 49.10377 27 212 60 30 2016 10 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"C4_2016" 8.57596 49.10414 13 260 95 10 2016 5 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"C3_2016" 8.57573 49.10388 20 238 80 20 2016 2 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"B1_2016" 8.5779 49.10816 2 315 70 60 2016 10 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"B2_2016" 8.57661 49.10867 26 290 45 15 2016 30 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"B3_2016" 8.57619 49.10368 18 200 50 30 2016 7 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"B4_2016" 8.5758 49.1045 18 200 50 20 2016 15 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H1_2016" 8.57947 49.10751 7 360 70 10 2016 15 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H2_2016" 8.57923 49.10734 2 350 25 90 2016 30 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H3_2016" 8.5746 49.10406 20 230 60 40 2016 25 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H4_2016" 8.57468 49.10416 25 220 70 40 2016 5 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H5_2016" 8.57456 49.1045 27 230 90 30 2016 15 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H6_2016" 8.22764 49.01065 NA 40 70 1 2016 1 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H7_2016" 8.22723 49.0108 2 225 90 30 2016 35 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H8_2016" 8.22641 49.0106 NA NA 40 20 2016 60 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H9_2016" 8.22712 49.01145 7 60 40 40 2016 30 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"H10_2016" 8.2268 49.0117 7 60 50 80 2016 80 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"F1_2016" 8.57932 49.10847 NA 15 83 9 2016 10 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"F2_2016" 8.57811 49.10814 NA 13 85 33 2016 83 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"F3_2016" 8.57712 49.1014 NA 35 70 3 2016 10 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"F4_2016" 8.57586 49.1033 NA 20 55 25 2016 5 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"F5_2016" 8.22745 49.00998 NA 0 60 20 2016 20 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"F6_2016" 8.2278 49.01017 NA 0 96 8 2016 2 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"F7_2016" 8.2277 49.01062 NA 25 50 4 2016 6 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"F8_2016" 8.22814 49.01097 NA 0 15 40 2016 83 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"F9_2016" 8.2291 49.01092 NA 0 40 15 2016 10 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"G6_2016" 8.22849 49.01006 28 40 85 3 2016 2 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"G6.1_2016" 8.22798 49.01244 3 NA 40 3 2016 25 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"G7_2016" 8.22769 49.0093 3 160 70 7 2016 10 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"G1_2016" 8.22836 49.00986 1 NA 80 5 2016 25 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"B5_2016" 8.2293 49.01059 0 NA 75 5 2016 2 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"B8_2016" 8.22737 49.01233 0 NA 30 25 2016 2 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
