"longitude" "latitude" "slope" "aspect" "cover_tree" "cover_shrub" "year" "cover_field" "location" "coord_system" "geodetic_dat" "accuracy_m" "altitude_m" "country" "Parent_plot" "shape" "size" "date" "formation" "pH" "foliage" "bare_soil" "litter" "standing_dead" "Living_stems" "Cover_field_layer_vascular" "cover_juvenile" "cover_seedling" "cover_field_layer_non_vascular" "Permanent_plot_id" "aspect_radians" "northerness" "vegclass"
"id1_2016" 8.22824 49.0104 55 7 70 6 2016 1 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.122173047639603 0.992546151641322 1
"id2_2016" 8.22816 49.0999 0 0 80 2 2016 1 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1
"id3_2016" 8.22866 49.0104 15 7 60 20 2016 60 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.122173047639603 0.992546151641322 1
"id5_2016" 8.22862 49.0108 0 0 40 40 2016 40 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1
"id7_2016" 8.57684 49.1084 35 57 80 45 2016 30 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.994837673636768 0.544639035015027 1
"id8_2016" 8.57915 49.1085 27 2 80 1 2016 12 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.0349065850398866 0.999390827019096 1
"id10_2016" 8.57536 49.1036 37 39 70 25 2016 15 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.680678408277788 0.777145961456971 2
"id12_2016" 8.22828 49.0106 13 30 2 85 2016 75 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.523598775598299 0.866025403784439 1
"id13_2016" 8.22278 49.0106 36 43 3 96 2016 60 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.750491578357562 0.731353701619171 1
"id14_2016" 8.22753 49.0105 0 0 5 95 2016 80 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1
"id16_2016" 8.22693 49.0119 0 0 20 70 2016 75 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0 1 1
"G2_2016" 8.22874 49.01019 3 270 40 3 2016 90 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.71238898038469 -1.83697019872103e-16 3
"G3_2016" 8.22772 49.01033 0 260 95 1 2016 1 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.53785605518526 -0.17364817766693 3
"G4_2016" 8.22736 49.01127 15 260 40 60 2016 40 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.53785605518526 -0.17364817766693 3
"G5_2016" 8.2271 49.01134 37 250 85 1 2016 1 "D" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.36332312998582 -0.342020143325669 1
"C1_2016" 8.57847 49.10855 15 21 50 20 2016 65 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.366519142918809 0.933580426497202 1
"C2_2016" 8.5753 49.10377 27 212 60 30 2016 10 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.70009801422798 -0.848048096156426 1
"C4_2016" 8.57596 49.10414 13 260 95 10 2016 5 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.53785605518526 -0.17364817766693 1
"C3_2016" 8.57573 49.10388 20 238 80 20 2016 2 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 4.1538836197465 -0.529919264233205 1
"B1_2016" 8.5779 49.10816 2 315 70 60 2016 10 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.49778714378214 0.707106781186547 1
"B2_2016" 8.57661 49.10867 26 290 45 15 2016 30 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.06145483078356 0.342020143325668 3
"B3_2016" 8.57619 49.10368 18 200 50 30 2016 7 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.49065850398866 -0.939692620785908 1
"B4_2016" 8.5758 49.1045 18 200 50 20 2016 15 "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.49065850398866 -0.939692620785908 1
