"X" "longitude" "latitude" "slope" "aspect" "cover_tree" "cover_shrub" "year" "cover_field" "location" "coord_system" "geodetic_dat" "accuracy_m" "altitude_m" "country" "Parent_plot" "shape" "size" "date" "formation" "pH" "foliage" "bare_soil" "litter" "standing_dead" "Living_stems" "Cover_field_layer_vascular" "cover_juvenile" "cover_seedling" "cover_field_layer_non_vascular" "Permanent_plot_id" "aspect_radians" "northerness" "vegclass" "color"
"50" "M2_2015" 8.5745858601 49.1039801264 21 210 6 "6" 2015 "1" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.66519142918809 -0.866025403784439 2 3
"51" "M3_2015" 8.5766723312 49.1035110355 19 225 9 "3" 2015 "2" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.92699081698724 -0.707106781186548 2 3
"54" "D3_2015" 8.5756168195 49.103579124 22.5 220 8 "7" 2015 "3" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.83972435438753 -0.766044443118978 2 3
"55" "A1_2015" 8.5789994861 49.1084337791 16 337.5 95 "15" 2015 "50" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.89048622548086 0.923879532511287 2 4
"56" "A2_2015" 8.5740504548 49.1042669073 23 218 70 "40" 2015 "20" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.80481776934764 -0.788010753606722 2 3
"57" "A3_2015" 8.576999342 49.1029167328 17 215 85 "20" 2015 "25" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.75245789178781 -0.819152044288992 1 1
"58" "B1_2015" 8.5790182333 49.1079993658 18 22.5 85 "30" 2015 "30" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.392699081698724 0.923879532511287 2 4
"59" "B2_2015" 8.5726634435 49.1044857689 20 112.5 80 "50" 2015 "20" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.96349540849362 -0.38268343236509 2 3
"60" "B3_2015" 8.5730966812 49.1050900695 25 112.5 70 "30" 2015 "5" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.96349540849362 -0.38268343236509 2 1
"61" "F1_2015" 8.5786356657 49.1078720333 15 22.5 65 "25" 2015 "33" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.392699081698724 0.923879532511287 2 4
"62" "F2_2015" 8.5730192638 49.104532063 35 112.5 50 "85" 2015 "47" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.96349540849362 -0.38268343236509 2 3
"64" "G1_2015" 8.5792691905 49.1074875382 7.5 NA 70 "15" 2015 "40" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 2 3
