"X" "longitude" "latitude" "slope" "aspect" "cover_tree" "cover_shrub" "year" "cover_field" "location" "coord_system" "geodetic_dat" "accuracy_m" "altitude_m" "country" "Parent_plot" "shape" "size" "date" "formation" "pH" "foliage" "bare_soil" "litter" "standing_dead" "Living_stems" "Cover_field_layer_vascular" "cover_juvenile" "cover_seedling" "cover_field_layer_non_vascular" "Permanent_plot_id" "aspect_radians" "northerness" "vegclass" "color" "L" "T" "K" "F" "R" "N"
"50" "M2_2015" 8.5745858601 49.1039801264 21 210 6 "6" 2015 "1" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.66519142918809 -0.866025403784439 2 3 4.59090909090909 5.5 3.26086956521739 4.90476190476191 6.17647058823529 4.94117647058824
"51" "M3_2015" 8.5766723312 49.1035110355 19 225 9 "3" 2015 "2" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.92699081698724 -0.707106781186548 2 3 4.84210526315789 5.75 3.15789473684211 5.05882352941176 6.91666666666667 5.38461538461539
"54" "D3_2015" 8.5756168195 49.103579124 22.5 220 8 "7" 2015 "3" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.83972435438753 -0.766044443118978 2 3 5.14285714285714 5.5625 3.14285714285714 5 7.14285714285714 5.26666666666667
"55" "A1_2015" 8.5789994861 49.1084337791 16 337.5 95 "15" 2015 "50" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 5.89048622548086 0.923879532511287 2 4 4.21739130434783 5.25 3.26086956521739 5.31578947368421 6.08333333333333 5.82352941176471
"56" "A2_2015" 8.5740504548 49.1042669073 23 218 70 "40" 2015 "20" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.80481776934764 -0.788010753606722 2 3 5.2 5.46153846153846 3.19047619047619 4.63157894736842 6 4.5
"57" "A3_2015" 8.576999342 49.1029167328 17 215 85 "20" 2015 "25" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 3.75245789178781 -0.819152044288992 1 1 4.3 5.66666666666667 2.90909090909091 5.2 7 5.5
"58" "B1_2015" 8.5790182333 49.1079993658 18 22.5 85 "30" 2015 "30" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.392699081698724 0.923879532511287 2 4 4.52631578947368 5.28571428571429 3.36842105263158 5.25 6 5.61538461538461
"59" "B2_2015" 8.5726634435 49.1044857689 20 112.5 80 "50" 2015 "20" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.96349540849362 -0.38268343236509 2 3 5.08695652173913 5.45 3.40909090909091 4.9 7.1875 4.88235294117647
"60" "B3_2015" 8.5730966812 49.1050900695 25 112.5 70 "30" 2015 "5" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1.96349540849362 -0.38268343236509 2 1 5.38461538461539 5.3 3.30769230769231 5.18181818181818 7.16666666666667 5.57142857142857
"61" "F1_2015" 8.5786356657 49.1078720333 15 22.5 65 "25" 2015 "33" "E" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 0.392699081698724 0.923879532511287 2 4 4.04545454545455 5.29411764705882 3 5.45 6.45454545454545 6
