"Abies_alba" "Acer_campestre" "Acer_platanoides" "Acer_pseudoplatanus" "Ajuga_reptans" "Alliaria_petiolata" "Allium_ursinum" "Alnus_glutinosa" "Anemone_nemorosa" "Arum_maculatum" "Athyrium_filix.femina" "Brachypodium_sylvaticum" "Campanula_trachelium" "Carex_digitata" "Carex_flacca" "Carex_montana" "Carex_sylvatica" "Carpinus_betulus" "Circaea_lutetiana" "Clematis_vitalba" "Convallaria_majalis" "Cornus_sanguinea" "Corylus_avellana" "Crataegus_laevigata" "Crataegus_monogyna" "Dactylis_glomerata" "Dryopteris_carthusiana" "Dryopteris_dilatata" "Dryopteris_filix.mas" "Fagus_sylvatica" "Festuca_altissima" "Festuca_ovina" "Ficaria_verna" "Fragaria_vesca" "Fraxinus_excelsior" "Galium_aparine" "Galium_odoratum" "Galium_sylvatikum" "Geranium_robertianum" "Geum_urbanum" "Glechoma_hederacea" "Hedera_helix" "Helleborus_foetidus" "Hieracium_murorum" "Impatiens_parviflora" "Impatiens_parviflora.1" "Juglans_regia" "Lamium_galeobdolon" "Lathyrus_niger" "Lathyrus_vernus" "Ligustrum_vulgare" "Lithospermum_purpurocaeruleum" "Luzula_luzuloides" "Melampyrum_pratense" "Melica_uniflora" "Mercurialis_perennis" "Milium_effusum" "Mycelis_muralis" "Oxalis_acetosella" "Pinus_sylvestris" "Poa_nemoralis" "Primula_elatior" "Prunus_avium" "Prunus_padus" "Prunus_spinosa" "Quercus_robur" "Quercus_spec" "Robinia_pseudoacacia" "Rosa_spec" "Rubus_fruticosus" "Rubus_idaeus" "Rubus_spec" "Sambucus_nigra" "Sanicula_europaea" "Silene_dioica" "Sorbus_torminalis" "Stellaria_nemorum" "Teucrium_scorodonia" "Ulmus_glabra" "Ulmus_minor" "Urtica_dioica" "Veronica_montana" "Vicia_sepium" "Vincetoxicum_hirundinaria" "Viola_hirta" "Viola_reichenbachiana"
"id1_2016" 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 20 97.5 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id2_2016" 0 0 0 20 0 0 40 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 20 70 0 0 0 0 0 5 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 5 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id3_2016" 0 0 0 97.5 0 0 40 0 20 0 0 0 0 0 0 0 0 60 40 0 0 0 0 0 0 0 0 0 0 20 0 0 5 0 5 0 0 0 5 20 20 0 0 0 0 20 0 40 0 0 0 0 0 0 0 0 5 0 20 0 0 0 0 0 0 0 5 0 0 0 0 5 40 0 20 0 40 0 20 5 0 0 0 0 0 0
"id5_2016" 0 0 0 5 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 60 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 97.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id7_2016" 0 20 20 20 0 0 5 0 20 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 40 0 0 0 0 5 0 97.5 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 20 0 20 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 97.5 0 0 0 0 0 0 0
"id8_2016" 0 0 0 30 0 0 0 0 97.5 5 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 20 20 0 0 5 0 0 0 5 0 0 0 0 97.5 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id10_2016" 0 97.5 0 0 0 0 0 0 0 0 0 20 0 0 20 0 0 0 0 0 0 0 0 40 0 0 0 0 0 97.5 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 97.5 0 5 0 0 0 0 0 0 0 0
"id12_2016" 0 0 0 20 0 5 5 0 20 0 0 0 0 0 20 0 0 0 0 0 5 0 30 0 0 0 0 0 0 40 0 0 0 0 5 0 0 0 0 0 20 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 5 0 5 0 0 0 0 5 0 0 0 0 0 0 0 5 0 0 0 0 5 0 0 0 0 0 0 0 0 0
"id13_2016" 5 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 5 5 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id14_2016" 5 0 0 5 0 0 0 0 0 0 0 5 0 0 0 0 0 5 0 0 0 0 40 0 0 0 20 0 0 70 0 0 0 0 5 5 0 0 5 0 0 5 0 0 0 0 0 0 0 0 0 0 5 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
