"","p2","p3","p4","p5","p6","p8","p9","p11","p12","p14","p15","p17","p19","p20","p21","p22","p23","p25","p27"
"Acer_campestre_t",0,0,0,1,0,0,0.1,0,0,1,0.4,0,0,0,4,0,0,0,0
"Acer_platanoides_t",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer_pseudoplatanus_t",0,0,6,0.1,0,1,0.4,0,0,0,0,6,0.2,0.2,0,3,0,0,4
"Aesculus_hippocastanum_t",0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0
"Carpinus_betulus_t",0,0,0,0,5,0,3,2,0,0,0,0,0,0,0,0,0,0,5
"Corylus_avellana_t",0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0
"Fagus_sylvatica_t",2,9,2,6,0,1,3,6,2,9,0,3,4,0.4,1,7,3,8,9
"Fraxinus_excelsior_t",0,0,0,1,0,3,0.4,0,0,3,0.2,0,0,0,4,0,0,0,0
"Hedera_helix_t",0,0,1,0,0.1,0.2,0,0,0,0.1,0.2,0,0,0,4,0,0,0.1,4
"Pinus_sylvestris_t",0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0
"Prunus_avium_t",0,0,0.2,0.1,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quercus_sp._t",6,0.1,0,0,0,0,0,0,4,0,1,0.1,0,0,0,0,5,0,4
"Sorbus_torminalis_t",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
"Ulmus_glabra_t",0,0,0,0,0,0,0.1,0,0,0,2,0,0,0,0,0,0,0,0
"Ulmus_minor_t",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Acer_campestre_s",0.4,0,0,0,0,0,0.2,0,0,0,0,0,0,0,3,0,1,0,0
"Acer_pseudoplatanus_s",0.1,0,0.2,0,0,0,0.1,0,0,0,0,0,0,0.4,0,0,0,0,3
"Carpinus_betulus_s",0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Corylus_avellana_s",0,0,0,0,0,0,0.2,0,0,0,0.2,0.1,0,0,0,0,0,0,1
"Crataegus_laevigata_s",0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crataegus_monogyna_agg._s",0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
"Euonymus_europaea_s",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Fagus_sylvatica_s",2,4,0.2,3,0.1,0,0.2,2,0,2,0,0.1,5,0,3,2,0,0.2,2
"Fraxinus_excelsior_s",0,0,0,0,0,1,0,0,0,0.1,0,0,0,0,2,0,0.1,0,1
"Hedera_helix_s",0,0.4,0,0,0,0,0,0,0,0.1,0,0,0,0,1,0,0,0,0
"Juglans_regia_s",0,0,0,0,0,0.4,0,0,0,0.1,0,0.1,1,1,2,0,0,0.1,0
"Ligustrum_vulgare_s",0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,2,0,0,0,4
"Prunus_avium_s",0,0,0.1,0,0,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0
"Rubus_fruticosus_agg._s",0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0
"Sorbus_torminalis_s",0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ulmus_glabra_s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Ulmus_minor_s",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Acer_campestre_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Acer_platanoides_hl",0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer_pseudoplatanus_hl",0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
"Brachypodium_sylvaticum_hl",0.1,0,0,0,0,0,0.1,0,0,0.1,0.2,0,0,0,1,0,0.2,0,0
"Campanula_persicifolia_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0
"Carex_flacca_hl",2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0
"Carex_sylvatica_hl",0,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0
"Carpinus_betulus_hl",0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,4
"Circaea_lutetiana_hl",0,0,0.1,0,0,0.1,0,0,0,0,0.4,0,0,0,0,0,0,0.1,0
"Clematis_vitalba_hl",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0
"Convallaria_majalis_hl",0.1,0,0.1,2,0,0,0,0,3,0.1,0,0,2,3,3,0,0.2,0,0
"Corylus_avellana_hl",0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Crataegus_monogyna_hl",0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cytisus_scoparius_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"Dactylis_polygama_hl",0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0
"Dactylis_sp._hl",0.1,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"Dryopteris_filix-mas_hl",0,0,0.1,0,0,0.2,0,0.2,0,0,0,0,0,0.2,0,0,0,1,0
"Fagus_sylvatica_hl",0,0,0.2,3,0.1,0,0,0,0,0,0.1,0,0,0,1,0,0,1,4
"Festuca_gigantea_hl",0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Fraxinus_excelsior_hl",0,0,0.1,0,0.1,0,0,0,0,0,0.4,0.2,0,0,4,0,0,0,4
"Galium_odoratum_hl",0.1,0,2,1,0.2,2,0.1,2,0,0.1,0.2,0.1,4,0.4,3,0,0,0,6
"Geum_urbanum_hl",0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,1
"Glechoma_hederacea_hl",0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Hedera_helix_hl",1,0,0.2,0.1,5,0.1,3,0.1,1,0.2,4,5,3,5,7,3,1,0.4,6
"Helleborus_foetidus_hl",0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0
"Hieracium_murorum_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Hieracium_sp._hl",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Impatiens_parviflora_hl",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"Juglans_regia_hl",0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,4,0,0,0.1,0
"Lamium_galeobdolon_hl",0,0,2,0,0.2,0,0.2,0,0,1,0.1,0.4,0,0,0,1,0,0,3
"Lamium_galeobdolon_agg._hl",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Lamium_maculatum_hl",0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Lathyrus_niger_hl",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
"Lathyrus_vernus_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,0,0,0,0
"Ligustrum_vulgare_hl",0,0,0,0,0,0,0.1,0,0,0,0.4,0,0,0,0,0,0,0,0
"Lithospermum_purpurocaeruleum_hl",0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0
"Luzula_luzuloides_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Melica_nutans_hl",0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"Mercurialis_perennis_hl",0,0,0,0,0,0,0.1,0,0,3,0.1,0,0,0,0,0,0,0,0
"Milium_effusum_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Mycelis_muralis_hl",0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0
"Paris_quadrifolia_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0
"Poa_nemoralis_hl",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prunus_avium_hl",0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
"Prunus_spinosa_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0
"Quercus_robur_hl",0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
"Ribes_uva-crispa_hl",0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
"Rosa_canina_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rubus_fruticosus_agg._hl",0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Rubus_idaeus_hl",0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
"Rubus_sect._Rubus_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
"Rubus_vulgaris_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0
"Sambucus_sp._hl",0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0
"Solidago_virgaurea_hl",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sorbus_torminalis_hl",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Teucrium_scorodonia_hl",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
