"Abies.alba" "Acer.camp" "Acer.campe" "Acer.plat" "Acer.pseu" "Aescu.hipp" "Ajuga.rept" "Allia.peti" "Alliu.peti" "Alliu.ursi" "Alnus.alno" "Alnus.glut" "Anemo.nemo" "Anthr.sylv" "Arum.macu" "Athyr.fili" "Athyr.sylv" "Betul.pend" "Brach.sylv" "Calth.palu" "Campa.trac" "Carda.amar" "Carex.cane" "Carex.digi" "Carex.elat" "Carex.elon" "Carex.flac" "Carex.mont" "Carex.remo" "Carex.spec" "Carex.sylv" "Carp.betu" "Carpi.betu" "Cepha.dama" "Circa.lute" "Circe.lute" "Clema.vita" "Comiu.macu" "Conva.maja" "Corn.sang" "Cornu.mas" "Cornu.sang" "Cory.avel" "Coryl.avel" "Crat.laev" "Crata.laev" "Crata.mono" "Dacty.glom" "Digit.gran" "Digit.purp" "Dryo.fima" "Dryop.cart" "Dryop.dila" "Dryop.fili" "Empat.parv" "Euony.euro" "Eupho.cypa" "Fagus.sylv" "Festu.alti" "Festu.ovin" "Festu.rubr" "Festu.spec" "Ficar.vern" "Fraga.vesc" "Fraxi.exce" "Galeo.lute" "Galiu.apar" "Galiu.odor" "Galiu.palu" "Galiu.sylv" "Geran.robe" "Geum.urba" "Glech.hede" "Gluce.flui" "Heder.heli" "Helle.foet" "Hiera.muro" "Horde.euro" "Humul.lupu" "Ilex.aqui" "Impat.glan" "Impat.noli" "Impat.parv" "Iris.pseu" "Jugla.regi" "Jugla.regia" "Juncu.effu" "Lamiu.albu" "Lamiu.gale" "Lamiu.macu" "Larix.deci" "Lathy.lini" "Lathy.nige" "Lathy.vern" "Ligus.vulg" "Litho.purp" "Lonic.caer" "Lonic.peri" "Luzul.fors" "Luzul.luzo" "Luzul.luzu" "Melam.prat" "Melic.unif" "Menth.aqua" "Menth.spec" "Mercu.pere" "Mespi.germ" "Miliu.effu" "Molin.caer" "Mycel.mura" "Neott.nidu" "Oxali.acet" "Picea.abie" "Pinus.sylv" "Plant.majo" "Poa.annu" "Poa.nemo" "Poa.palu" "Polyg.acul" "Polyg.mult" "Primu.elat" "Prunu.aviu" "Prunu.maha" "Prunu.padu" "Prunu.spec" "Prunu.spin" "Querc.spec" "Ranun.bulb" "Ranun.fica" "Ranun.repe" "Raunu.bulb" "Ribes.spec" "Ribes.spic" "Ribes.uva-" "Ribes.uvac" "Robin.pseu" "Rosa.arve" "Rosa.spec" "Rubus.idae" "Rubus.spec" "Sambu.nigr" "Sanic.euro" "Silen.dioi" "Solid.giga" "Sorbu.torm" "Sorbu.tormi" "Sorbus.torm" "Stach.annu" "Stach.sylv" "Stela.medi" "Stell.gram" "Stell.holo" "Stell.medi" "Stell.nemo" "Tarax.spec" "Taxus.bacc" "Teucr.scor" "Teucri.scor" "Tilia.plat" "Ulmus.glab" "Ulmus.mino" "Urtic.dioi" "Valer.proc" "Veron.cham" "Veron.mont" "Veron.offi" "Veron.spec" "Vicia.crac" "Vicia.sepi" "Vinca.mino" "Vince.hiru" "Viola.hirt" "Viola.reic" "Viola.spec"
"id1_2016" 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 97.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id2_2016" 0 0 0 0 20 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 70 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id3_2016" 0 0 0 0 97.5 0 0 0 0 40 0 0 20 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 60 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0.5 0 0 0 0 0 0.5 20 20 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0.5 40 0 20 0 0 0 0 0 0 0 0 0 0.5 40 0 0 0 0 0 20 0.5 0 0 0.5 0 0 0 0 0 0 0 0 0 0
"id5_2016" 0 0 0 0 0.5 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 60 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 97.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id7_2016" 0 20 0 20 20 0 0 0 0 0.5 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0.5 0 0 97.5 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 20 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 97.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id8_2016" 0 0 0 0 30 0 0 0 0 0 0 0 97.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 20 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 97.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0.5 0 0 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id10_2016" 0 97.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 97.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 97.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id12_2016" 0 0 0 0 20 0 0 0.5 0 0.5 0 0 20 0 0 0 0 0 0 0 0 0 0 0 40 0 20 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 30 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id13_2016" 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0 0 40 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"id14_2016" 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 20 0 0 0 0 0 70 0 0 0 0.5 0 0 0.5 0 0.5 0 0 0 0.5 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 20 0 0 0 0.5 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
