"","p2","p3","p4","p5","p6","p8","p9","p11","p12","p14","p15","p17","p19","p20","p21","p22","p23","p25","p27"
"Acer_campestre_t",0,0,0,10,0,0,10,0,0,10,40,0,0,0,40,0,0,0,0
"Acer_platanoides_t",0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acer_pseudoplatanus_t",0,0,60,10,0,10,40,0,0,0,0,60,2,2,0,30,0,0,40
"Aesculus_hippocastanum_t",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"Carpinus_betulus_t",0,0,0,0,50,0,30,20,0,0,0,0,0,0,0,0,0,0,50
"Corylus_avellana_t",0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
"Fagus_sylvatica_t",20,90,20,60,0,10,30,60,20,90,0,30,40,40,10,70,30,80,90
"Fraxinus_excelsior_t",0,0,0,10,0,30,40,0,0,30,2,0,0,0,40,0,0,0,0
"Hedera_helix_t",0,0,10,0,10,2,0,0,0,10,2,0,0,0,40,0,0,10,40
"Pinus_sylvestris_t",0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0
"Prunus_avium_t",0,0,2,10,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"Quercus_sp._t",60,10,0,0,0,0,0,0,40,0,10,10,0,0,0,0,50,0,40
"Sorbus_torminalis_t",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0
"Ulmus_glabra_t",0,0,0,0,0,0,10,0,0,0,20,0,0,0,0,0,0,0,0
"Ulmus_minor_t",0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"Acer_campestre_s",40,0,0,0,0,0,2,0,0,0,0,0,0,0,30,0,10,0,0
"Acer_pseudoplatanus_s",10,0,2,0,0,0,10,0,0,0,0,0,0,40,0,0,0,0,30
"Carpinus_betulus_s",2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"Corylus_avellana_s",0,0,0,0,0,0,2,0,0,0,2,10,0,0,0,0,0,0,10
"Crataegus_laevigata_s",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crataegus_monogyna_agg._s",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Euonymus_europaea_s",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
"Fagus_sylvatica_s",20,40,2,30,10,0,2,20,0,20,0,10,50,0,30,20,0,2,20
"Fraxinus_excelsior_s",0,0,0,0,0,10,0,0,0,10,0,0,0,0,20,0,10,0,10
"Hedera_helix_s",0,40,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0
"Juglans_regia_s",0,0,0,0,0,40,0,0,0,10,0,10,10,10,20,0,0,10,0
